id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
"11131";"77";ALZAIA NAVIGLIO PAVESE;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"743";9.17714681590671;45.4488495686479;"(45.4488495686479, 9.17714681590671)"
"11132";"7499";VIA BENEDETTO CROCE;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"10";9.12938240549327;45.4925433808292;"(45.4925433808292, 9.12938240549327)"
"11135";"3315";VIA FERDINANDO MARESCALCHI;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"70";9.23373630489025;45.4685615717778;"(45.4685615717778, 9.23373630489025)"
"11136";"7454";VIA ERITREA;;urbana;promiscuo pedoni;marciapiede;bidirezionale;non regolamentato;"57";9.13761279464992;45.5111270410064;"(45.5111270410064, 9.13761279464992)"
"11140";"703";VIA GIOVANNI LANZA;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"83";9.18193172208626;45.4714172227462;"(45.4714172227462, 9.18193172208626)"
"11148";"4068";CORSO LODI;;ciclabile;ciclabile sede propria;parterre;bidirezionale;corsia ciclabile;"489";9.21302776222183;45.4456182382598;"(45.4456182382598, 9.21302776222183)"
"11149";"6346";LARGO QUINTO ALPINI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"70";9.16703409725956;45.4718804431407;"(45.4718804431407, 9.16703409725956)"
"11150";"6346";LARGO QUINTO ALPINI;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile con lanterna bici;"15";9.1683728493631;45.4727623842477;"(45.4727623842477, 9.1683728493631)"
"11151";"6174";VIA VENTI SETTEMBRE;;ciclabile;ciclabile sede propria;parterre;monodirezionale - concorde;corsia ciclabile;"64";9.1671324555944;45.4681523815109;"(45.4681523815109, 9.1671324555944)"
"11153";"1360";VIALE MARCHE;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"30";9.19163550874777;45.4961883500025;"(45.4961883500025, 9.19163550874777)"
"11165";"5200";PIAZZA VENTIQUATTRO MAGGIO;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"55";9.1803349910262;45.452372673535;"(45.452372673535, 9.1803349910262)"
"11169";"1055";PIAZZA DELLA REPUBBLICA;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"64";9.1971573735536;45.4790250997357;"(45.4790250997357, 9.1971573735536)"
"11179";"7137";CORSO SEMPIONE;;urbana;promiscuo veicoli;corsia tpl;monodirezionale - concorde;FACILITAZIONE - corsia TPL ecc. bici;"118";9.17003203976553;45.4774595654175;"(45.4774595654175, 9.17003203976553)"
"11180";"2665";VIA PIETRO ANDREA SACCARDO;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"17";9.23890649195761;45.4820798148958;"(45.4820798148958, 9.23890649195761)"
"11181";"7223";VIA PRINCIPE EUGENIO;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"22";9.16568214136667;45.4939782944961;"(45.4939782944961, 9.16568214136667)"
"11209";"1377";PIAZZA CARBONARI;;ciclabile;ciclabile segnaletica;ponte;monodirezionale - concorde;corsia ciclabile;"18";9.20120329981015;45.4934224141259;"(45.4934224141259, 9.20120329981015)"
"11212";"5200";PIAZZA VENTIQUATTRO MAGGIO;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"16";9.18017741765449;45.4521774554896;"(45.4521774554896, 9.18017741765449)"
"11213";"7327";VIA CASTELLAMMARE;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;non regolamentato;"19";9.1376601180332;45.5105684928579;"(45.5105684928579, 9.1376601180332)"
"11215";"6093";VIA VALPARAISO;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"226";9.16370801986892;45.4573695241399;"(45.4573695241399, 9.16370801986892)"
"11216";"6102";PIAZZA GIOVANNI ANTONIO BAZZI;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"5";9.16235790495068;45.4569439368994;"(45.4569439368994, 9.16235790495068)"
"11217";"6094";VIA COLA DI RIENZO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"149";9.15884584828054;45.4558313178856;"(45.4558313178856, 9.15884584828054)"
"11218";"6102";PIAZZA GIOVANNI ANTONIO BAZZI;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"24";9.16211181940958;45.4568900222122;"(45.4568900222122, 9.16211181940958)"
"11221";"1104";VIA CARTESIO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"70";9.19679730260752;45.4801146212341;"(45.4801146212341, 9.19679730260752)"
